[0, 1, 2, 3, 4, 5, 6, 7] : 111.58412
[0, 1, 2, 3, 4, 5, 7, 6] : 109.17179
[0, 1, 2, 3, 4, 6, 5, 7] : 119.04148
[0, 1, 2, 3, 4, 6, 7, 5] : 107.09219
[0, 1, 2, 3, 4, 7, 5, 6] : 104.79732
[0, 1, 2, 3, 4, 7, 6, 5] : 95.26036
[0, 1, 2, 3, 5, 4, 6, 7] : 119.77813
[0, 1, 2, 3, 5, 4, 7, 6] : 105.533966
[0, 1, 2, 3, 5, 6, 4, 7] : 115.403656
[0, 1, 2, 3, 5, 6, 7, 4] : 106.98484
[0, 1, 2, 3, 5, 7, 4, 6] : 112.991325
[0, 1, 2, 3, 5, 7, 6, 4] : 118.81667
[0, 1, 2, 3, 6, 4, 5, 7] : 130.36783
[0, 1, 2, 3, 6, 4, 7, 5] : 114.04407
[0, 1, 2, 3, 6, 5, 4, 7] : 118.535995
[0, 1, 2, 3, 6, 5, 7, 4] : 117.57454
[0, 1, 2, 3, 6, 7, 4, 5] : 106.5867
[0, 1, 2, 3, 6, 7, 5, 4] : 121.94901
[0, 1, 2, 3, 7, 4, 5, 6] : 105.79433
[0, 1, 2, 3, 7, 4, 6, 5] : 103.71473
[0, 1, 2, 3, 7, 5, 4, 6] : 117.62615
[0, 1, 2, 3, 7, 5, 6, 4] : 119.077034
[0, 1, 2, 3, 7, 6, 4, 5] : 108.0892
[0, 1, 2, 3, 7, 6, 5, 4] : 111.61968
[0, 1, 2, 4, 3, 5, 6, 7] : 113.98166
[0, 1, 2, 4, 3, 5, 7, 6] : 111.56932
[0, 1, 2, 4, 3, 6, 5, 7] : 124.57135
[0, 1, 2, 4, 3, 6, 7, 5] : 112.62206
[0, 1, 2, 4, 3, 7, 5, 6] : 111.82969
[0, 1, 2, 4, 3, 7, 6, 5] : 102.29273
[0, 1, 2, 4, 5, 3, 6, 7] : 125.30799
[0, 1, 2, 4, 5, 3, 7, 6] : 112.56633
[0, 1, 2, 4, 5, 6, 3, 7] : 125.56835
[0, 1, 2, 4, 5, 6, 7, 3] : 111.396286
[0, 1, 2, 4, 5, 7, 3, 6] : 123.15602
