[0, 7, 8, 5, 6, 3, 2, 1, 4, 10, 9, 13, 12, 11, 14] : 137.86577
[1, 2, 3, 6, 5, 8, 7, 0, 9, 10, 4, 13, 12, 11, 14] : 146.5836
[2, 1, 5, 6, 3, 4, 10, 9, 13, 12, 11, 8, 7, 0, 14] : 141.84012
[3, 2, 1, 5, 6, 9, 10, 4, 13, 12, 11, 8, 7, 0, 14] : 145.79108
[4, 3, 2, 1, 5, 6, 9, 10, 13, 12, 11, 8, 7, 0, 14] : 132.84003
[5, 6, 3, 2, 1, 4, 10, 9, 13, 12, 11, 8, 7, 0, 14] : 144.82297
[6, 3, 2, 1, 5, 8, 7, 0, 9, 10, 4, 13, 12, 11, 14] : 140.30911
[7, 8, 5, 6, 3, 2, 1, 4, 10, 9, 13, 12, 11, 0, 14] : 152.42795
[8, 7, 0, 5, 6, 3, 2, 1, 4, 10, 9, 13, 12, 11, 14] : 132.1981
[9, 6, 3, 2, 1, 5, 8, 7, 0, 12, 11, 13, 14, 10, 4] : 116.40073
[10, 9, 6, 3, 2, 1, 5, 8, 7, 0, 12, 11, 13, 14, 4] : 122.71023
[11, 12, 13, 9, 6, 3, 2, 1, 5, 8, 7, 0, 4, 10, 14] : 125.729004
[12, 11, 8, 7, 0, 5, 6, 3, 2, 1, 4, 10, 9, 13, 14] : 115.621994
[13, 9, 6, 3, 2, 1, 5, 8, 7, 0, 12, 11, 14, 10, 4] : 129.0815
[14, 13, 9, 6, 3, 2, 1, 5, 8, 7, 0, 12, 11, 10, 4] : 130.28218
