[0, 1, 2, 3, 4, 5, 6, 7] : 111.58412
[0, 1, 2, 3, 4, 7, 6, 5] : 95.26036
[0, 1, 2, 3, 5, 4, 6, 7] : 119.77813
[0, 1, 2, 3, 5, 4, 7, 6] : 105.533966
[0, 1, 2, 3, 5, 6, 4, 7] : 115.403656
[0, 1, 2, 3, 5, 6, 7, 4] : 106.98484
[0, 1, 2, 4, 3, 5, 6, 7] : 113.98166
[0, 1, 2, 4, 7, 6, 5, 3] : 106.76146
[0, 1, 2, 7, 4, 3, 5, 6] : 102.795616
[0, 1, 2, 7, 4, 6, 5, 3] : 109.81958
[0, 1, 2, 7, 6, 4, 3, 5] : 105.090485
[0, 1, 2, 7, 6, 4, 5, 3] : 114.19405
[0, 1, 2, 7, 6, 5, 3, 4] : 108.62096
[0, 1, 2, 7, 6, 5, 4, 3] : 106.00004
[0, 1, 3, 2, 4, 5, 6, 7] : 115.02165
[0, 1, 3, 2, 4, 7, 6, 5] : 98.69789
[0, 1, 3, 2, 7, 4, 5, 6] : 103.8356
[0, 1, 3, 2, 7, 4, 6, 5] : 101.75601
[0, 1, 3, 2, 7, 6, 4, 5] : 106.13048
[0, 1, 3, 2, 7, 6, 5, 4] : 109.66096
[0, 1, 3, 4, 2, 7, 6, 5] : 100.33401
[0, 1, 3, 4, 5, 6, 7, 2] : 112.078476
[0, 1, 3, 5, 4, 2, 7, 6] : 110.60761
[0, 1, 3, 5, 4, 6, 7, 2] : 120.27248
[0, 1, 3, 5, 6, 4, 2, 7] : 120.4773
[0, 1, 3, 5, 6, 4, 7, 2] : 115.89801
[0, 1, 3, 5, 6, 7, 2, 4] : 112.058495
[0, 1, 3, 5, 6, 7, 4, 2] : 112.83989
[0, 3, 1, 2, 4, 5, 6, 7] : 114.27473
[0, 3, 1, 2, 4, 7, 6, 5] : 97.95097
[0, 3, 1, 2, 7, 4, 5, 6] : 103.088684
[0, 3, 1, 2, 7, 4, 6, 5] : 101.00909
[0, 3, 1, 2, 7, 6, 4, 5] : 105.38356
[0, 3, 1, 2, 7, 6, 5, 4] : 108.914024
[0, 3, 4, 5, 6, 7, 2, 1] : 106.000046
[0, 3, 5, 4, 6, 7, 2, 1] : 114.19405
